"date","orig_province","trips_internal","trips_not_internal","share_of_internal_trips","Nombre_Zona","location_google"
2020-03-01,1,NA,NA,NA,"Alava","Alava"
2020-03-01,2,NA,NA,NA,"Albacete","Albacete"
2020-03-01,3,NA,NA,NA,"Alicante","Alicante"
2020-03-01,4,NA,NA,NA,"Almeria","Almeria"
2020-03-01,5,NA,NA,NA,"Avila","Avila"
2020-03-01,6,NA,NA,NA,"Badajoz","Badajoz"
2020-03-01,7,NA,NA,NA,"Balearic Islands","Balearic Islands"
2020-03-01,7,NA,NA,NA,"Balearic Islands","Balearic Islands"
2020-03-01,7,NA,NA,NA,"Balearic Islands","Balearic Islands"
2020-03-01,8,NA,NA,NA,"Barcelona","Barcelona"
2020-03-01,9,NA,NA,NA,"Burgos","Burgos"
2020-03-01,10,NA,NA,NA,"Caceres","Caceres"
2020-03-01,11,NA,NA,NA,"Cadiz","Cadiz"
2020-03-01,12,NA,NA,NA,"Castellon","Castellon"
2020-03-01,13,NA,NA,NA,"Ciudad Real","Ciudad Real"
2020-03-01,14,NA,NA,NA,"Cordoba","Cordoba"
2020-03-01,15,NA,NA,NA,"A Coruna","A Coruna"
2020-03-01,16,NA,NA,NA,"Cuenca","Cuenca"
2020-03-01,17,NA,NA,NA,"Girona","Girona"
2020-03-01,18,NA,NA,NA,"Granada","Granada"
2020-03-01,19,NA,NA,NA,"Guadalajara","Guadalajara"
2020-03-01,20,NA,NA,NA,"Gipuzkoa","Gipuzkoa"
2020-03-01,21,NA,NA,NA,"Huelva","Huelva"
2020-03-01,22,NA,NA,NA,"Huesca","Huesca"
2020-03-01,23,NA,NA,NA,"Jaen","Jaen"
2020-03-01,24,NA,NA,NA,"Leon","Leon"
2020-03-01,25,NA,NA,NA,"Lleida","Lleida"
2020-03-01,26,NA,NA,NA,"La Rioja","La Rioja"
2020-03-01,27,NA,NA,NA,"Lugo","Lugo"
2020-03-01,28,NA,NA,NA,"Community of Madrid","Community of Madrid"
2020-03-01,29,NA,NA,NA,"Malaga","Malaga"
2020-03-01,30,NA,NA,NA,"Region of Murcia","Region of Murcia"
2020-03-01,31,NA,NA,NA,"Navarre","Navarre"
2020-03-01,32,NA,NA,NA,"Province of Ourense","Province of Ourense"
2020-03-01,33,NA,NA,NA,"Asturias","Asturias"
2020-03-01,34,NA,NA,NA,"Palencia","Palencia"
2020-03-01,35,NA,NA,NA,"Las Palmas","Las Palmas"
2020-03-01,35,NA,NA,NA,"Las Palmas","Las Palmas"
2020-03-01,35,NA,NA,NA,"Las Palmas","Las Palmas"
2020-03-01,36,NA,NA,NA,"Pontevedra","Pontevedra"
2020-03-01,37,NA,NA,NA,"Salamanca","Salamanca"
2020-03-01,38,NA,NA,NA,"Santa Cruz de Tenerife","Santa Cruz de Tenerife"
2020-03-01,38,NA,NA,NA,"Santa Cruz de Tenerife","Santa Cruz de Tenerife"
2020-03-01,38,NA,NA,NA,"Santa Cruz de Tenerife","Santa Cruz de Tenerife"
2020-03-01,38,NA,NA,NA,"Santa Cruz de Tenerife","Santa Cruz de Tenerife"
2020-03-01,39,NA,NA,NA,"Cantabria","Cantabria"
2020-03-01,40,NA,NA,NA,"Segovia","Segovia"
2020-03-01,41,NA,NA,NA,"Seville","Seville"
2020-03-01,42,NA,NA,NA,"Soria","Soria"
2020-03-01,43,NA,NA,NA,"Tarragona","Tarragona"
2020-03-01,44,NA,NA,NA,"Teruel","Teruel"
2020-03-01,45,NA,NA,NA,"Toledo","Toledo"
2020-03-01,46,NA,NA,NA,"Valencia","Valencia"
2020-03-01,47,NA,NA,NA,"Valladolid","Valladolid"
2020-03-01,48,NA,NA,NA,"Biscay","Biscay"
2020-03-01,49,NA,NA,NA,"Zamora","Zamora"
2020-03-01,50,NA,NA,NA,"Zaragoza","Zaragoza"
2020-03-01,51,NA,NA,NA,"Ceuta","Ceuta"
2020-03-01,52,NA,NA,NA,"Melilla","Melilla"
2020-03-02,1,NA,NA,NA,"Alava","Alava"
2020-03-02,2,NA,NA,NA,"Albacete","Albacete"
2020-03-02,3,NA,NA,NA,"Alicante","Alicante"
2020-03-02,4,NA,NA,NA,"Almeria","Almeria"
2020-03-02,5,NA,NA,NA,"Avila","Avila"
2020-03-02,6,NA,NA,NA,"Badajoz","Badajoz"
2020-03-02,7,NA,NA,NA,"Balearic Islands","Balearic Islands"
2020-03-02,7,NA,NA,NA,"Balearic Islands","Balearic Islands"
2020-03-02,7,NA,NA,NA,"Balearic Islands","Balearic Islands"
2020-03-02,8,NA,NA,NA,"Barcelona","Barcelona"
2020-03-02,9,NA,NA,NA,"Burgos","Burgos"
2020-03-02,10,NA,NA,NA,"Caceres","Caceres"
2020-03-02,11,NA,NA,NA,"Cadiz","Cadiz"
2020-03-02,12,NA,NA,NA,"Castellon","Castellon"
2020-03-02,13,NA,NA,NA,"Ciudad Real","Ciudad Real"
2020-03-02,14,NA,NA,NA,"Cordoba","Cordoba"
2020-03-02,15,NA,NA,NA,"A Coruna","A Coruna"
2020-03-02,16,NA,NA,NA,"Cuenca","Cuenca"
2020-03-02,17,NA,NA,NA,"Girona","Girona"
2020-03-02,18,NA,NA,NA,"Granada","Granada"
2020-03-02,19,NA,NA,NA,"Guadalajara","Guadalajara"
2020-03-02,20,NA,NA,NA,"Gipuzkoa","Gipuzkoa"
2020-03-02,21,NA,NA,NA,"Huelva","Huelva"
2020-03-02,22,NA,NA,NA,"Huesca","Huesca"
2020-03-02,23,NA,NA,NA,"Jaen","Jaen"
2020-03-02,24,NA,NA,NA,"Leon","Leon"
2020-03-02,25,NA,NA,NA,"Lleida","Lleida"
2020-03-02,26,NA,NA,NA,"La Rioja","La Rioja"
2020-03-02,27,NA,NA,NA,"Lugo","Lugo"
