"Date","variable","value"
2020-01-01,"Stringency Index",0
2020-01-02,"Stringency Index",0
2020-01-03,"Stringency Index",0
2020-01-04,"Stringency Index",0
2020-01-05,"Stringency Index",0
2020-01-06,"Stringency Index",0
2020-01-07,"Stringency Index",0
2020-01-08,"Stringency Index",0
2020-01-09,"Stringency Index",0
2020-01-10,"Stringency Index",0
2020-01-11,"Stringency Index",0
2020-01-12,"Stringency Index",0
2020-01-13,"Stringency Index",0
2020-01-14,"Stringency Index",0
2020-01-15,"Stringency Index",0
2020-01-16,"Stringency Index",0
2020-01-17,"Stringency Index",0
2020-01-18,"Stringency Index",0
2020-01-19,"Stringency Index",0
2020-01-20,"Stringency Index",0
2020-01-21,"Stringency Index",0
2020-01-22,"Stringency Index",0
2020-01-23,"Stringency Index",0
2020-01-24,"Stringency Index",0
2020-01-25,"Stringency Index",0
2020-01-26,"Stringency Index",0
2020-01-27,"Stringency Index",0
2020-01-28,"Stringency Index",0
2020-01-29,"Stringency Index",0
2020-01-30,"Stringency Index",0
2020-01-31,"Stringency Index",11.11
2020-02-01,"Stringency Index",11.11
2020-02-02,"Stringency Index",11.11
2020-02-03,"Stringency Index",11.11
2020-02-04,"Stringency Index",11.11
2020-02-05,"Stringency Index",11.11
2020-02-06,"Stringency Index",11.11
2020-02-07,"Stringency Index",11.11
2020-02-08,"Stringency Index",11.11
2020-02-09,"Stringency Index",11.11
2020-02-10,"Stringency Index",11.11
2020-02-11,"Stringency Index",11.11
2020-02-12,"Stringency Index",11.11
2020-02-13,"Stringency Index",11.11
2020-02-14,"Stringency Index",11.11
2020-02-15,"Stringency Index",11.11
2020-02-16,"Stringency Index",11.11
2020-02-17,"Stringency Index",11.11
2020-02-18,"Stringency Index",11.11
2020-02-19,"Stringency Index",11.11
2020-02-20,"Stringency Index",11.11
2020-02-21,"Stringency Index",11.11
2020-02-22,"Stringency Index",11.11
2020-02-23,"Stringency Index",11.11
2020-02-24,"Stringency Index",11.11
2020-02-25,"Stringency Index",11.11
2020-02-26,"Stringency Index",11.11
2020-02-27,"Stringency Index",11.11
2020-02-28,"Stringency Index",11.11
2020-02-29,"Stringency Index",11.11
2020-03-01,"Stringency Index",11.11
2020-03-02,"Stringency Index",11.11
2020-03-03,"Stringency Index",11.11
2020-03-04,"Stringency Index",11.11
2020-03-05,"Stringency Index",11.11
2020-03-06,"Stringency Index",11.11
2020-03-07,"Stringency Index",11.11
2020-03-08,"Stringency Index",11.11
2020-03-09,"Stringency Index",25
2020-03-10,"Stringency Index",45.83
2020-03-11,"Stringency Index",45.83
2020-03-12,"Stringency Index",45.83
2020-03-13,"Stringency Index",45.83
2020-03-14,"Stringency Index",67.13
2020-03-15,"Stringency Index",67.13
2020-03-16,"Stringency Index",68.98
2020-03-17,"Stringency Index",71.76
2020-03-18,"Stringency Index",71.76
2020-03-19,"Stringency Index",71.76
2020-03-20,"Stringency Index",71.76
